timestamp,mem_used_mb,cpu_used_pct
2026-04-24T11:50:05+00:00,5993,7.3
2026-04-24T11:50:10+00:00,6001,4.8
2026-04-24T11:50:15+00:00,5993,4.8
2026-04-24T11:50:21+00:00,5986,2.4
2026-04-24T11:50:26+00:00,5980,9.8
2026-04-24T11:50:31+00:00,5995,2.4
2026-04-24T11:50:36+00:00,5980,2.5
2026-04-24T11:50:42+00:00,5974,25.6
2026-04-24T11:50:47+00:00,5969,2.4
2026-04-24T11:50:52+00:00,5980,2.4
2026-04-24T11:50:57+00:00,5969,23.8
2026-04-24T11:51:02+00:00,5978,7.2
2026-04-24T11:51:08+00:00,5980,12.5
2026-04-24T11:51:13+00:00,5981,9.6
2026-04-24T11:51:18+00:00,5984,2.4
2026-04-24T11:51:23+00:00,5981,2.4
2026-04-24T11:51:28+00:00,5986,2.4
2026-04-24T11:51:34+00:00,5984,2.4
2026-04-24T11:51:39+00:00,5988,4.8
2026-04-24T11:51:44+00:00,5980,4.8
2026-04-24T11:51:49+00:00,5986,10
2026-04-24T11:51:55+00:00,5991,2.4
2026-04-24T11:52:00+00:00,5973,2.4
2026-04-24T11:52:05+00:00,5979,12.5
2026-04-24T11:52:10+00:00,5977,0
2026-04-24T11:52:15+00:00,5978,35.9
2026-04-24T11:52:21+00:00,5992,7.2
2026-04-24T11:52:26+00:00,5982,31.7
2026-04-24T11:52:31+00:00,5981,4.8
2026-04-24T11:52:36+00:00,5987,7.3
2026-04-24T11:52:42+00:00,5974,2.4
2026-04-24T11:52:47+00:00,5982,18.6
2026-04-24T11:52:52+00:00,5964,16.6
2026-04-24T11:52:57+00:00,5975,17.5
2026-04-24T11:53:02+00:00,5976,4.8
2026-04-24T11:53:08+00:00,5985,2.5
2026-04-24T11:53:13+00:00,5954,4.8
2026-04-24T11:53:18+00:00,5969,2.4
2026-04-24T11:53:23+00:00,5957,19
2026-04-24T11:53:29+00:00,5974,2.5
2026-04-24T11:53:34+00:00,5985,2.5
2026-04-24T11:53:39+00:00,5990,2.4
2026-04-24T11:53:44+00:00,5982,22
2026-04-24T11:53:49+00:00,5981,7.2
2026-04-24T11:53:55+00:00,5983,4.8
2026-04-24T11:54:00+00:00,5985,2.5
2026-04-24T11:54:05+00:00,5975,7.3
2026-04-24T11:54:10+00:00,5983,44
2026-04-24T11:54:15+00:00,5976,7
2026-04-24T11:54:21+00:00,5979,2.4
2026-04-24T11:54:26+00:00,5983,4.8
2026-04-24T11:54:31+00:00,5992,2.4
2026-04-24T11:54:36+00:00,5992,2.5
2026-04-24T11:54:42+00:00,5997,28.5
2026-04-24T11:54:47+00:00,5986,2.4
2026-04-24T11:54:52+00:00,5975,4.8
2026-04-24T11:54:57+00:00,5978,2.4
2026-04-24T11:55:02+00:00,5987,2.4
2026-04-24T11:55:08+00:00,5993,4.8
2026-04-24T11:55:13+00:00,5981,7.3
2026-04-24T11:55:18+00:00,5956,2.4
2026-04-24T11:55:23+00:00,5985,4.8
2026-04-24T11:55:29+00:00,5955,2.4
2026-04-24T11:55:34+00:00,5976,4.8
2026-04-24T11:55:39+00:00,5984,5.1
2026-04-24T11:55:44+00:00,5992,2.4
2026-04-24T11:55:49+00:00,5999,4.8
2026-04-24T11:55:55+00:00,5991,5
